ID,Category,Page,Issue,Description,Fix,Priority,Roadmap ref,Status
AS-044,Marketing division page,/marketing-devision/,Duplicate page /marketing-division-2/ is live,"A second marketing division page exists at /marketing-division-2/ with its own title and meta description (405 words), indexable.",301 /marketing-division-2/ to the marketing division page.,P1,R1,
AS-045,Retail division page,/retail-division/,Heading before the H1,"""Albert Scott Divisions"" is an H3 placed above the H1 ""Retail Division"". Eyebrow labels styled as headings break the document outline.",Change the eyebrow label to a paragraph with a CSS class; keep the H1 first.,P2,R9,
AS-046,Retail division page,/retail-division/,Service page is short,"About 378 words. The DSP page (1,396 words) shows the depth the division pages need.","Expand to at least 900 words: definition, what is included, how it connects to the other divisions, results, FAQ.",P2,R11,
AS-047,Retail division page,/retail-division/,Images without alt text,19 of 19 images have empty alt attributes.,Add descriptive alt text to every image in the Media Library.,P2,R10,
AS-048,Retail division page,/retail-division/,Body copy links to almost nothing,"1 link(s) in the body beyond nav and footer. Related case studies, articles and sibling divisions are not linked.","Add contextual links: division pages link their case studies, related articles and /dsp/; the homepage links all four divisions and /dsp/ directly.",P2,R18,
AS-049,Retail division page,/retail-division/,No call to action in the first mobile screen,"On a 390px screen the only CTA above the fold is the Contact button, which sits inside the hamburger menu. The homepage is the only page with a visible button (""GET MY FREE AUDIT"").","Add a visible button under the H1 on every primary page (Book a call, Get my free audit) that is present on mobile without opening the menu.",P2,R20,
AS-050,Logistics division page,/logistics-division/,Heading before the H1,"""Albert Scott Divisions"" is an H3 placed above the H1 ""Logistics Division"". Eyebrow labels styled as headings break the document outline.",Change the eyebrow label to a paragraph with a CSS class; keep the H1 first.,P2,R9,
AS-051,Logistics division page,/logistics-division/,Thin content,"About 336 words of body copy. Competitor service pages that rank run 1,400 to 14,800 words.","Expand to at least 900 words using the /dsp/ page structure: definition, what is included, how it connects to the other divisions, results, FAQ.",P2,R11,
AS-052,Logistics division page,/logistics-division/,Images without alt text,10 of 10 images have empty alt attributes.,Add descriptive alt text to every image in the Media Library.,P2,R10,
AS-053,Logistics division page,/logistics-division/,Body copy links to almost nothing,"1 link(s) in the body beyond nav and footer. Related case studies, articles and sibling divisions are not linked.","Add contextual links: division pages link their case studies, related articles and /dsp/; the homepage links all four divisions and /dsp/ directly.",P2,R18,
AS-054,Logistics division page,/logistics-division/,No call to action in the first mobile screen,"On a 390px screen the only CTA above the fold is the Contact button, which sits inside the hamburger menu. The homepage is the only page with a visible button (""GET MY FREE AUDIT"").","Add a visible button under the H1 on every primary page (Book a call, Get my free audit) that is present on mobile without opening the menu.",P2,R20,
AS-055,DSP page,/dsp/,Title does not say what the page is,"Current title tag: ""DSP - Albert Scott"". It carries no term a buyer would search for, so the page cannot appear for service queries and the og:title (which copies it) is equally blank.","Change the SEO title in AIOSEO to: ""Amazon DSP Management Agency: Albert Scott"". Keep it under 65 characters where possible.",P1,R7,
AS-056,DSP page,/dsp/,No meta description,"The page has no meta description, so search results and answer engines pick their own snippet from the page.","Write a 120 to 155 character description in AIOSEO stating what the page offers and for whom, using claims already on the page.",P1,R8,
AS-057,DSP page,/dsp/,Images without alt text,175 of 175 images have empty alt attributes.,Add descriptive alt text to every image in the Media Library.,P2,R10,
AS-058,DSP page,/dsp/,Almost no internal links point here,1 inbound link(s) from other pages. The page is reachable mainly via the sitemap.,"Link to it from the homepage divisions section, the relevant division page and the related articles.",P2,R18,
AS-059,DSP page,/dsp/,Body copy links to almost nothing,"1 link(s) in the body beyond nav and footer. Related case studies, articles and sibling divisions are not linked.","Add contextual links: division pages link their case studies, related articles and /dsp/; the homepage links all four divisions and /dsp/ directly.",P2,R18,
AS-060,DSP page,/dsp/,No call to action in the first mobile screen,"On a 390px screen the only CTA above the fold is the Contact button, which sits inside the hamburger menu. The homepage is the only page with a visible button (""GET MY FREE AUDIT"").","Add a visible button under the H1 on every primary page (Book a call, Get my free audit) that is present on mobile without opening the menu.",P2,R20,
AS-061,DSP page,/dsp/,FAQ text has no FAQ schema,The page has a FAQ section but no FAQPage markup.,Add FAQPage schema via AIOSEO for the existing questions.,P2,R16,
AS-062,Case studies page,/case-studies/,Title does not say what the page is,"Current title tag: ""Case Studies - Albert Scott"". It carries no term a buyer would search for, so the page cannot appear for service queries and the og:title (which copies it) is equally blank.","Change the SEO title in AIOSEO to: ""Amazon Growth Case Studies: Albert Scott"". Keep it under 65 characters where possible.",P1,R7,
AS-063,Case studies page,/case-studies/,Thin content,"About 276 words of body copy. Competitor service pages that rank run 1,400 to 14,800 words.","Expand to at least 900 words using the /dsp/ page structure: definition, what is included, how it connects to the other divisions, results, FAQ.",P2,R11,
AS-064,Case studies page,/case-studies/,Images without alt text,7 of 7 images have empty alt attributes.,Add descriptive alt text to every image in the Media Library.,P2,R10,
AS-065,Case studies page,/case-studies/,No call to action in the first mobile screen,"On a 390px screen the only CTA above the fold is the Contact button, which sits inside the hamburger menu. The homepage is the only page with a visible button (""GET MY FREE AUDIT"").","Add a visible button under the H1 on every primary page (Book a call, Get my free audit) that is present on mobile without opening the menu.",P2,R20,
AS-066,Case studies page,/case-studies/,"H1 says ""General Case Studies""",The H1 is a category label; the page holds three case studies and links nine PDFs from other pages.,"H1 ""Amazon Growth Case Studies"". List every case study, including the nine that exist only as PDFs.",P2,G6,
AS-067,Case study: BeYoutiful,/case-studies/beyoutiful/,Title does not say what the page is,"Current title tag: ""From $0 to $1M+ in Year 1 - Albert Scott"". It carries no term a buyer would search for, so the page cannot appear for service queries and the og:title (which copies it) is equally blank.","Change the SEO title in AIOSEO to: ""[Service] for Amazon Brands: Albert Scott"". Keep it under 65 characters where possible.",P1,R7,
AS-068,Case study: BeYoutiful,/case-studies/beyoutiful/,No meta description,"The page has no meta description, so search results and answer engines pick their own snippet from the page.","Write a 120 to 155 character description in AIOSEO stating what the page offers and for whom, using claims already on the page.",P1,R8,
AS-069,Case study: BeYoutiful,/case-studies/beyoutiful/,Heading before the H1,"""CASE STUDY: BEYOUTIFUL"" is an H4 placed above the H1 ""From $0 to $1M+ in Year 1: Launching a New Skincare Brand on Amazon"". Eyebrow labels styled as headings break the document outline.",Change the eyebrow label to a paragraph with a CSS class; keep the H1 first.,P2,R9,
AS-070,Case study: BeYoutiful,/case-studies/beyoutiful/,Images without alt text,10 of 13 images have empty alt attributes.,Add descriptive alt text to every image in the Media Library.,P2,R10,
AS-071,Case study: BeYoutiful,/case-studies/beyoutiful/,Almost no internal links point here,1 inbound link(s) from other pages. The page is reachable mainly via the sitemap.,"Link to it from the homepage divisions section, the relevant division page and the related articles.",P2,R18,
AS-072,Case study: BeYoutiful,/case-studies/beyoutiful/,Body copy links to almost nothing,"2 link(s) in the body beyond nav and footer. Related case studies, articles and sibling divisions are not linked.","Add contextual links: division pages link their case studies, related articles and /dsp/; the homepage links all four divisions and /dsp/ directly.",P2,R18,
AS-073,Case study: BeYoutiful,/case-studies/beyoutiful/,No call to action in the first mobile screen,"On a 390px screen the only CTA above the fold is the Contact button, which sits inside the hamburger menu. The homepage is the only page with a visible button (""GET MY FREE AUDIT"").","Add a visible button under the H1 on every primary page (Book a call, Get my free audit) that is present on mobile without opening the menu.",P2,R20,
AS-074,Case study: Atlas Olive Oils,/case-studies/atlas-olive-oils/,Title does not say what the page is,"Current title tag: ""Atlas Olive Oils - Albert Scott"". It carries no term a buyer would search for, so the page cannot appear for service queries and the og:title (which copies it) is equally blank.","Change the SEO title in AIOSEO to: ""[Service] for Amazon Brands: Albert Scott"". Keep it under 65 characters where possible.",P1,R7,
AS-075,Case study: Atlas Olive Oils,/case-studies/atlas-olive-oils/,No meta description,"The page has no meta description, so search results and answer engines pick their own snippet from the page.","Write a 120 to 155 character description in AIOSEO stating what the page offers and for whom, using claims already on the page.",P1,R8,
AS-076,Case study: Atlas Olive Oils,/case-studies/atlas-olive-oils/,Heading before the H1,"""Case Study: Atlas Olive Oils"" is an H4 placed above the H1 ""Atlas Olive Oil: The Best Selling Olive Oil on Amazon"". Eyebrow labels styled as headings break the document outline.",Change the eyebrow label to a paragraph with a CSS class; keep the H1 first.,P2,R9,
AS-077,Case study: Atlas Olive Oils,/case-studies/atlas-olive-oils/,Images without alt text,11 of 13 images have empty alt attributes.,Add descriptive alt text to every image in the Media Library.,P2,R10,
AS-078,Case study: Atlas Olive Oils,/case-studies/atlas-olive-oils/,Almost no internal links point here,1 inbound link(s) from other pages. The page is reachable mainly via the sitemap.,"Link to it from the homepage divisions section, the relevant division page and the related articles.",P2,R18,
AS-079,Case study: Atlas Olive Oils,/case-studies/atlas-olive-oils/,Body copy links to almost nothing,"2 link(s) in the body beyond nav and footer. Related case studies, articles and sibling divisions are not linked.","Add contextual links: division pages link their case studies, related articles and /dsp/; the homepage links all four divisions and /dsp/ directly.",P2,R18,
AS-080,Case study: Atlas Olive Oils,/case-studies/atlas-olive-oils/,No call to action in the first mobile screen,"On a 390px screen the only CTA above the fold is the Contact button, which sits inside the hamburger menu. The homepage is the only page with a visible button (""GET MY FREE AUDIT"").","Add a visible button under the H1 on every primary page (Book a call, Get my free audit) that is present on mobile without opening the menu.",P2,R20,
AS-081,Case study: Mouthwatchers,/case-studies/mouthwatchers/,Heading before the H1,"""Case Study: Mouthwatchers"" is an H4 placed above the H1 ""Mouthwatchers: Unlocking Growth in a Commodity Category"". Eyebrow labels styled as headings break the document outline.",Change the eyebrow label to a paragraph with a CSS class; keep the H1 first.,P2,R9,
AS-082,Case study: Mouthwatchers,/case-studies/mouthwatchers/,H1 carries no descriptive term,"H1 is ""Mouthwatchers: Unlocking Growth in a Commodity Category"". A slogan or a label, not a statement of the service.","Rewrite the H1 to name the service and the audience, for example ""Full-Service Amazon Agency for Vendor and Seller Central Brands"", keeping the slogan as a subheading.",P2,R9,
AS-083,Case study: Mouthwatchers,/case-studies/mouthwatchers/,Images without alt text,11 of 12 images have empty alt attributes.,Add descriptive alt text to every image in the Media Library.,P2,R10,
AS-084,Case study: Mouthwatchers,/case-studies/mouthwatchers/,Almost no internal links point here,1 inbound link(s) from other pages. The page is reachable mainly via the sitemap.,"Link to it from the homepage divisions section, the relevant division page and the related articles.",P2,R18,
AS-085,Case study: Mouthwatchers,/case-studies/mouthwatchers/,Body copy links to almost nothing,"2 link(s) in the body beyond nav and footer. Related case studies, articles and sibling divisions are not linked.","Add contextual links: division pages link their case studies, related articles and /dsp/; the homepage links all four divisions and /dsp/ directly.",P2,R18,
AS-086,Case study: Mouthwatchers,/case-studies/mouthwatchers/,Page is noindexed,"meta robots is ""noindex, nofollow"" and the page is excluded from the sitemap, yet it has the best title and description of the three case studies. A duplicate blog post /blog/mouthwatchers/ is indexed instead.","Merge /blog/mouthwatchers/ into this page, 301 the post, then remove the noindex.",P2,R12,
AS-087,Case study: Mouthwatchers,/case-studies/mouthwatchers/,No call to action in the first mobile screen,"On a 390px screen the only CTA above the fold is the Contact button, which sits inside the hamburger menu. The homepage is the only page with a visible button (""GET MY FREE AUDIT"").","Add a visible button under the H1 on every primary page (Book a call, Get my free audit) that is present on mobile without opening the menu.",P2,R20,
AS-088,Portfolio gallery page,/listings-portfolio-gallery/,No H1,"The page has no H1 heading, so the main topic is not declared to crawlers.","Set the page headline as an H1 (About: ""About Albert Scott""; Contact: ""Contact Albert Scott""; Gallery: ""Amazon Listing and A+ Content Portfolio"").",P2,R9,
AS-089,Portfolio gallery page,/listings-portfolio-gallery/,Thin content,"About 229 words of body copy. Competitor service pages that rank run 1,400 to 14,800 words.","Expand to at least 900 words using the /dsp/ page structure: definition, what is included, how it connects to the other divisions, results, FAQ.",P2,R11,
AS-090,Portfolio gallery page,/listings-portfolio-gallery/,Images without alt text,219 of 219 images have empty alt attributes.,Add descriptive alt text to every image in the Media Library.,P2,R10,
AS-091,Portfolio gallery page,/listings-portfolio-gallery/,Links to redirecting or dead URLs,Links target: /case-studies-2/.,Point each link at the live URL.,P1,R2,
AS-092,Portfolio gallery page,/listings-portfolio-gallery/,No call to action in the first mobile screen,"On a 390px screen the only CTA above the fold is the Contact button, which sits inside the hamburger menu. The homepage is the only page with a visible button (""GET MY FREE AUDIT"").","Add a visible button under the H1 on every primary page (Book a call, Get my free audit) that is present on mobile without opening the menu.",P2,R20,
AS-093,Portfolio gallery page,/listings-portfolio-gallery/,Horizontal scroll on mobile,"Rendered at 390px the page is wider than the screen, so it scrolls sideways.","Find the element wider than the viewport (usually a fixed-width image, table or gallery row) and set max-width 100%.",P2,R6,
AS-094,Portfolio gallery page,/listings-portfolio-gallery/,Gallery links go to image files,52 body links point at raw .png and .jpg files under /wp-content/uploads/ rather than pages. The work has no captions or text.,"Link gallery tiles to project or case study pages with text, or add captions and alt text to each tile.",P2,R13,
AS-095,Newsroom page,/newsroom/,Title does not say what the page is,"Current title tag: ""Newsroom - Albert Scott"". It carries no term a buyer would search for, so the page cannot appear for service queries and the og:title (which copies it) is equally blank.","Change the SEO title in AIOSEO to: ""Albert Scott in the News: Forbes and Press Coverage"". Keep it under 65 characters where possible.",P1,R7,
AS-096,Newsroom page,/newsroom/,H1 carries no descriptive term,"H1 is ""Newsroom"". A slogan or a label, not a statement of the service.","Rewrite the H1 to name the service and the audience, for example ""Full-Service Amazon Agency for Vendor and Seller Central Brands"", keeping the slogan as a subheading.",P2,R9,
AS-097,Newsroom page,/newsroom/,Images without alt text,5 of 5 images have empty alt attributes.,Add descriptive alt text to every image in the Media Library.,P2,R10,
AS-098,Newsroom page,/newsroom/,No call to action in the first mobile screen,"On a 390px screen the only CTA above the fold is the Contact button, which sits inside the hamburger menu. The homepage is the only page with a visible button (""GET MY FREE AUDIT"").","Add a visible button under the H1 on every primary page (Book a call, Get my free audit) that is present on mobile without opening the menu.",P2,R20,
AS-099,Newsroom page,/newsroom/,Press coverage is off-site only,"The Forbes Business Council articles are linked but not summarized, and the page title does not claim the coverage.","Retitle to claim the coverage, add a two-line summary per article, and link the relevant division page from each summary.",P3,G7,
AS-100,University page,/albert-scott-university/,Title does not say what the page is,"Current title tag: ""Albert Scott University - Albert Scott"". It carries no term a buyer would search for, so the page cannot appear for service queries and the og:title (which copies it) is equally blank.","Change the SEO title in AIOSEO to: ""Albert Scott University: Amazon Guides and Resources"". Keep it under 65 characters where possible.",P1,R7,
AS-101,University page,/albert-scott-university/,H1 carries no descriptive term,"H1 is ""Albert Scott University"". A slogan or a label, not a statement of the service.","Rewrite the H1 to name the service and the audience, for example ""Full-Service Amazon Agency for Vendor and Seller Central Brands"", keeping the slogan as a subheading.",P2,R9,
AS-102,University page,/albert-scott-university/,Thin content,"About 176 words of body copy. Competitor service pages that rank run 1,400 to 14,800 words.","Expand to at least 900 words using the /dsp/ page structure: definition, what is included, how it connects to the other divisions, results, FAQ.",P2,R11,
AS-103,University page,/albert-scott-university/,Images without alt text,4 of 4 images have empty alt attributes.,Add descriptive alt text to every image in the Media Library.,P2,R10,
AS-104,University page,/albert-scott-university/,No call to action in the first mobile screen,"On a 390px screen the only CTA above the fold is the Contact button, which sits inside the hamburger menu. The homepage is the only page with a visible button (""GET MY FREE AUDIT"").","Add a visible button under the H1 on every primary page (Book a call, Get my free audit) that is present on mobile without opening the menu.",P2,R20,
AS-105,University page,/albert-scott-university/,Duplicate /university/ page,/university/ (148 words) duplicates this page.,301 /university/ to /albert-scott-university/.,P2,R1,
AS-106,Contact page,/contact-us/,Title does not say what the page is,"Current title tag: ""Contact Us - Albert Scott"". It carries no term a buyer would search for, so the page cannot appear for service queries and the og:title (which copies it) is equally blank.","Change the SEO title in AIOSEO to: ""Contact Albert Scott, Amazon Agency in New York"". Keep it under 65 characters where possible.",P1,R7,
AS-107,Contact page,/contact-us/,H1 carries no descriptive term,"H1 is ""Get in Touch"". A slogan or a label, not a statement of the service.","Rewrite the H1 to name the service and the audience, for example ""Full-Service Amazon Agency for Vendor and Seller Central Brands"", keeping the slogan as a subheading.",P2,R9,
AS-108,Contact page,/contact-us/,Images without alt text,6 of 6 images have empty alt attributes.,Add descriptive alt text to every image in the Media Library.,P2,R10,
AS-109,Contact page,/contact-us/,Body copy links to almost nothing,"1 link(s) in the body beyond nav and footer. Related case studies, articles and sibling divisions are not linked.","Add contextual links: division pages link their case studies, related articles and /dsp/; the homepage links all four divisions and /dsp/ directly.",P2,R18,
AS-110,Contact page,/contact-us/,No call to action in the first mobile screen,"On a 390px screen the only CTA above the fold is the Contact button, which sits inside the hamburger menu. The homepage is the only page with a visible button (""GET MY FREE AUDIT"").","Add a visible button under the H1 on every primary page (Book a call, Get my free audit) that is present on mobile without opening the menu.",P2,R20,
