priority,show,exhibitor,amazon_presence_summary,smartscout_brand,monthly_revenue_usd,total_products,avg_rating,total_reviews,primary_subcategory,amazon_url,search_term,org_type_flag,smartscout_checked,match_confidence,other_candidates,google_amazon_presence,google_note,amazon_direct_search,amazon_direct_search_note,amazon_brand_name,amazon_store_url,amazon_sold_by,amazon_verified,SS_Brand_Match,SS_Match_Confidence,SS_Category,SS_Subcategory,SS_Monthly_Revenue,SS_TTM_Revenue,SS_Total_Products,SS_Total_Reviews,SS_Avg_Rating,SS_Avg_Price,SS_Avg_Sellers,SS_Single_Seller_Name,SS_Amazon_1P_Pct,SS_MoM_Growth,SS_12M_MoM_Growth,SS_Has_Storefront,SS_Storefront_URL,SS_Top_Products,SS_Seller_Coverage,SS_Seller_Count,SS_Seller_Type,SS_Reseller_Share_Pct,Angle,Angle_Data_Points,Subject,Email,QA_Flags,Processed_At
1 - Confirmed on Amazon,Las Vegas Souvenir & Resort Gift Show 2026,L'ovedbaby,YES on Amazon (SmartScout),L'ovedbaby,5667.01,82.0,4.48,2283.0,Baby Boys' One-Piece Footies,,L'ovedbaby,,Yes,exact,,,,Not needed,,,,,SmartScout,L'ovedbaby,exact,"Clothing, Shoes & Jewelry",Baby Boys' One-Piece Footies,5667.01,68912.34,82,2283,4.48,33.88,0.89,Amazon.com,17.7,-0.177,-0.637,False,,"L'ovedbaby Unisex Baby Organic Cotton Snap Footie, Black, 0-3 Months | B077DYGT8Z | $3,083; L'ovedbaby Baby Girls Organic Snap One Piece Footies, Seafoam, 0-3 Months | B00O0O46AC | $351; L'ovedbaby Baby Girls Organic Snap One-Piece Footies, Gray, 3-6 Months | B00I14VMZY | $351; L'ovedbaby Baby Girls Organic Snap One-Piece Footies, Mauve, Preemie/NB | B00IIJA5T6 | $277; L'ovedbaby Baby Girls Organic Snap One-Piece Footies, Seafoam, Preemie/NB | B00O0O41OI | $243",Marketplace Valet: 82.3%; Amazon.com: 17.7%,2,Third-party resellers,82.3,Sold through a third-party service account (Marketplace Valet 82%) plus Amazon 1P; steep decline,"Marketplace Valet 82.3%; Amazon 17.7%; brand direct 0%; monthly rev ~$6k; TTM ~$69k; 12M MoM -64%; 2,283 reviews",L'ovedbaby on Amazon,"Hi {{first_name}},

Saw you're exhibiting at the Las Vegas Souvenir & Resort Gift Show next week.

Looking at your listings, L'ovedbaby does roughly $6k a month on Amazon, down sharply over the last year, with about 80% sold through an account called Marketplace Valet and the rest by Amazon as the vendor. One black footie is half the volume and the other 80 listings barely move. For an organic baby brand with a 4.5 rating, that is a channel nobody is actively building.

We manage Amazon for brands end to end, including strategy, content, advertising, inventory and operations.

Would it make sense to have a quick conversation?

Yoni
",Marketplace Valet is a third-party marketplace service provider; treated as third party per rules,2026-09-25T15:35:53
1 - Confirmed on Amazon,Las Vegas Souvenir & Resort Gift Show 2026,Vinrella,YES on Amazon (SmartScout),VINRELLA,4686.05,29.0,4.55,1692.0,Stick Umbrellas,,Vinrella,,Yes,exact,,,,Not needed,,,,,SmartScout,VINRELLA,exact,"Clothing, Shoes & Jewelry",Stick Umbrellas,4686.05,84492.36,29,1692,4.55,29.68,1.24,Vinrella,0,-0.284,-0.255,True,https://www.amazon.com/stores/Vinrella/page/59B0831D-4888-4B33-A228-AA765A3B2F6D,"VINRELLA Rain & Sun Bucket Hat for Women, Red | B07T43RKWQ | $560; VINRELLA Rain & Sun Bucket Hat for Women, Black | B07T5716MV | $520; Rose Labeled Wine Bottle Umbrella | B07HRXJ1X3 | $335; VINRELLA Wine Bottle Umbrella, Misty Spirits | B01N7TTWGK | $280; VINRELLA Wine Bottle Umbrella, Bloom | B08HPMKDGG | $252",Garden Works | Star Kitchen & Home: 96.9%; Vinrella: 3.1%,2,Third-party resellers,96.9,One reseller (Garden Works) sells ~97%; brand's own account ~3%; declining,"Garden Works 96.9% on 28 offers; Vinrella seller 3.1%; monthly rev ~$5k; 12M MoM -25%; 1,692 reviews",Who sells Vinrella on Amazon,"Hi {{first_name}},

Saw you're exhibiting at the Las Vegas Souvenir & Resort Gift Show next week.

From what we can see, Vinrella does roughly $5k a month on Amazon and about 97% of it is sold by one account, Garden Works, across 28 of your listings, with your own account on just two. The trend over the last year is down a quarter. The wine bottle umbrella is a natural Q4 gift listing, but right now the price and the ads are someone else's call.

We manage Amazon for brands end to end, including strategy, content, advertising, inventory and operations.

Would it make sense to talk about taking that back?

Yoni
",'Garden Works' may be an affiliated company; treated as third party per rules; verify; trimmed for length,2026-09-25T15:35:53
1 - Confirmed on Amazon,Las Vegas Souvenir & Resort Gift Show 2026,First & Main,YES on Amazon (SmartScout),First & Main,4212.2,3.0,4.7,1598.0,Stuffed Animals & Teddy Bears,,First & Main,,Yes,exact,"Calypso Studios by First & Main ($50.76, 2 products); First & Main Coffee Co. (unrelated)",,,Not needed,,,,,SmartScout,First & Main,exact,Toys & Games,Stuffed Animals & Teddy Bears,4212.2,42128.24,3,1598,4.7,22.39,5,Amazon.com,0,0.222,,False,,"First & Main 13"" Melancholy Melanie Puppy Dog | B00QSBCZXA | $2,124; First & Main 10"" Melancholy Mel Puppy Dog | B01F5XEKIO | $1,941; First & Main 8"" Brown Tender Teddy Bear | B0013FSKM6 | $147",Sunrite Gifts: 79.2%; Imperio Nygren: 11.8%; Hour Loop: 8.9%; The Mulberry Shop: 0.1%,4,Third-party resellers,100.0,No brand account; three listings sold entirely by resellers (Sunrite Gifts 79%),"Sunrite Gifts 79.2%; Imperio Nygren 11.8%; Hour Loop 8.9%; brand direct 0%; monthly rev ~$4k; 3 products; 1,598 reviews",First & Main on Amazon,"Hi {{first_name}},

Saw you're exhibiting at the Las Vegas Souvenir & Resort Gift Show next week.

Looking at your listings, First & Main is essentially three plush listings on Amazon doing roughly $4k a month, all sold by third parties, mostly Sunrite Gifts. We don't see a First & Main account, and the Melancholy puppy alone has about 1,600 reviews and a 4.7 rating. That is a brand with a proven product and almost no Amazon channel behind it.

We recently helped a brand go from no Amazon presence to a $1M+ annual run rate within six months. We manage the channel end to end.

Is Amazon something you're looking at?

Yoni
",profile pulled via query_analytics after handle renewal; trimmed for length,2026-09-25T15:35:53
1 - Confirmed on Amazon,FNCE 2025,Agoge,YES on Amazon (SmartScout),Agoge,3041.53,4.0,4.15,41.0,Sports Nutrition Hemp Protein Powders,,Agoge,,Yes,exact,,,,Not needed,,,,,SmartScout,Agoge,exact,Health & Household,Sports Nutrition Hemp Protein Powders,3041.53,18764.85,4,41,4.15,52.68,1,,0,-0.171,,False,,"Agoge USDA Organic Hemp Protein Powder, Vanilla, 20 Servings | B0GLH4F7TZ | $1,053; Agoge USDA Organic Hemp Protein Powder, Matcha, 20 Servings | B0GLH1F3KT | $945; Agoge USDA Organic Hemp Protein Powder, Chocolate, 20 Servings | B0GLHF7LP8 | $766; Agoge USDA Organic Hemp Protein Powder, Unflavored, 20 Servings | B0GLH14369 | $278",Agoge Organic Hemp Protein: 100%,1,Brand direct,0,"Early-stage launch: four listings, ~40 reviews, sub-4.2 rating",Brand direct 100%; monthly rev ~$3k; 4 products; 41 reviews; avg rating 4.15; MoM -17%,Agoge's Amazon launch,"Hi {{first_name}},

Saw that Agoge exhibited at FNCE last year.

From what we can see, Agoge is doing roughly $3k a month on Amazon across four hemp protein listings, sold direct, with about 40 reviews and an average rating just over 4. That is the very start of a channel. In protein powder the first few hundred reviews, the listing content and the organic and hemp search terms decide whether a brand gets past this stage.

We recently helped a brand go from no Amazon presence to a $1M+ annual run rate within six months. We manage the channel end to end.

Would it make sense to have a quick conversation?

Yoni
",trimmed for length,2026-09-25T15:35:53
1 - Confirmed on Amazon,Las Vegas Souvenir & Resort Gift Show 2026,The Jonsteen Co.,YES on Amazon (SmartScout),The Jonsteen Company,2747.63,9.0,4.32,5182.0,Tree Plants & Seeds,,Jonsteen,,Yes,exact,,,,Not needed,,,,,SmartScout,The Jonsteen Company,exact,"Patio, Lawn & Garden",Tree Plants & Seeds,2747.63,101797.4,9,5182,4.32,22.64,0.78,The Jonsteen Company,0,-0.017,,True,,"Giant Sequoia | Small Tree Seedling | The Jonsteen Company | B00HZR1XQG | $1,289; Giant Sequoia | Tree Seed Grow Kit | The Jonsteen Company | B019J9KMS2 | $635; Japanese Maple | Small Tree Seedling | The Jonsteen Company | B00K0NCNNY | $327; Bonsai Tree Bundle | Collection of 5 Live Tree Seedlings | B0778VH89S | $290; Dawn Redwood | Medium Tree Seedling | The Jonsteen Company | B0CHNB1MCX | $161",The Jonsteen Company: 80.4%; Japanese Maples and Evergreens: 11.9%; Atharva Brands: 7.7%,3,Brand direct,19.6,"Mostly brand direct with a strong review base, but small current volume and ~20% leaking to resellers","The Jonsteen Company 80.4%; Japanese Maples and Evergreens 11.9%; Atharva Brands 7.7%; monthly rev ~$2.7k; TTM ~$102k; 5,182 reviews",The Jonsteen Company on Amazon,"Hi {{first_name}},

Saw you're exhibiting at the Las Vegas Souvenir & Resort Gift Show next week.

From what we can see, The Jonsteen Company does roughly $3k a month on Amazon right now, against about $100k over the trailing year, mostly through your own account with about 20% going through two resellers. The Giant Sequoia seedling carries it, and the catalog has more than 5,000 reviews, which is a real asset for nine listings. It looks like the seasonal dip is being ridden out rather than worked.

We manage Amazon for brands end to end, including strategy, content, advertising, inventory and operations.

Open to a short call on the off-season plan?

Yoni
",profile and sellers pulled via query_analytics fallback; 12M growth not returned,2026-09-25T15:35:53
1 - Confirmed on Amazon,Las Vegas Souvenir & Resort Gift Show 2026,"Americaware, Inc.",YES on Amazon (SmartScout),Americaware,2588.55,13.0,4.7,675.0,Mugs,,Americaware,,Yes,exact,,,,Not needed,,,,,SmartScout,Americaware,exact,Kitchen & Dining,Mugs,2588.55,21739.76,13,675,4.7,20.84,2.69,,0,-0.4,,False,,Americaware Alaska 18oz. Emblem Coffee Mug | B0163EPOMA | $459; Americaware 18oz Big Foot Emblem Mug | B094K4Z7QN | $389; Americaware Colorado 22 oz Night Sky Silhouette Mug | B01LZGSZDH | $272; Americaware Nashville 18oz. Color Relief Coffee Mug | B01LY5YXG7 | $262; Americaware Big Foot Beige 18oz Emblem Mug | B0BNP3B44J | $215,"Artisan Owl: 53.4%; Zentra, LLC: 37.4%; AT TEN, LLC: 5.7%; Americaware Inc: 3.5%",4,Third-party resellers,96.5,"Resellers (Artisan Owl, Zentra) sell ~90%; brand's own account ~4%; last month down 40%",Artisan Owl 53.4%; Zentra 37.4%; Americaware Inc 3.5%; monthly rev ~$2.6k; MoM -40%; 675 reviews,Who sells Americaware on Amazon,"Hi {{first_name}},

Saw you're exhibiting at the Las Vegas Souvenir & Resort Gift Show next week.

Looking at your listings, Americaware mugs do roughly $2,500 a month on Amazon, and about 90% of that is sold by two resellers, Artisan Owl and Zentra. Your own account is under 5%, and last month was down 40%. Souvenir mugs are a natural Amazon gift listing, but only if the brand owns the page.

We recently helped a brand go from no Amazon presence to a $1M+ annual run rate within six months. We manage the channel end to end.

Is Amazon something you're looking at more seriously?

Yoni
",trimmed for length,2026-09-25T15:35:53
1 - Confirmed on Amazon,Las Vegas Souvenir & Resort Gift Show 2026,Jacobson Hat Company,YES on Amazon (SmartScout),Jacobson Hat Company,2476.37,10.0,4.32,3408.0,Men's Military Accessories,,Jacobson Hat,,Yes,exact,Jacobson Hat (0 products),,,Not needed,,,,,SmartScout,Jacobson Hat Company,exact,"Clothing, Shoes & Jewelry",Men's Military Accessories,2476.37,141714.77,10,3408,4.32,19.26,1.4,,0,-0.339,,False,,"100% Wool Civil War Union Kepi Replica Hat S/M | B01BMV9UOC | $1,015; Statue of Liberty Headband Green | B07XF8RRG7 | $495; Jacobson Hat Company Men's Tricorne Hat with Snaps, Black | B00BCR8IUO | $291; Jacobson Hat Company Chicken Rooster Plush Mask Hat, Red | B014U7DXNO | $257; Jacobson Hat Company French Fries Novelty Food Hat, Red | B01IWAQEUO | $195","Gettysburg Souvenirs & Gifts: 37.6%; Arlene's Costumes: 29.2%; Atharva Brands: 17.2%; Zentra, LLC: 5.0%; CostumeVille: 4.4%",6,Third-party resellers,96.9,No brand account; sold entirely by costume and souvenir resellers; trailing year ~$142k vs ~$2.5k now,"Gettysburg Souvenirs 37.6%; Arlene's Costumes 29.2%; Atharva Brands 17.2%; brand direct 0%; monthly rev ~$2.5k; TTM ~$142k; 3,408 reviews",Jacobson Hat Company on Amazon,"Hi {{first_name}},

Saw you're exhibiting at the Las Vegas Souvenir & Resort Gift Show next week.

From what we can see, Jacobson Hat Company products did about $140k on Amazon over the trailing year, but every dollar of it is sold by costume and souvenir resellers like Gettysburg Souvenirs and Arlene's Costumes. We don't see a Jacobson account. Right now it is around $2,500 a month heading into the Halloween window, and the Civil War kepi is most of that.

We manage Amazon for brands end to end, including strategy, content, advertising, inventory and operations.

Would it make sense to talk about owning that channel yourselves?

Yoni
",,2026-09-25T15:35:53
1 - Confirmed on Amazon,Las Vegas Souvenir & Resort Gift Show 2026,SEAWAG,YES on Amazon (SmartScout),Seawag,2192.32,12.0,4.58,293.0,Waterproof Cell Phone Cases,,SEAWAG,,Yes,exact,,,,Not needed,,,,,SmartScout,Seawag,exact,Cell Phones & Accessories,Waterproof Cell Phone Cases,2192.32,18715.06,12,293,4.58,31.02,1.17,,0,0.128,,False,,"SEAWAG Waterproof Pouch for Smartphone Universal Size (Orange White) | B0F1K22DQP | $378; SEAWAG Next Waterproof Phone Pouch, 2 Pack Black | B0FHJPW4JT | $350; SEAWAG Waterproof Pouch for Smartphone Universal Size (Camouflage) | B0DZ6WH23W | $261; SEAWAG Next Waterproof Phone Pouch, 1 Pack Black | B0F1MW6ZLP | $250; SEAWAG Next Waterproof Phone Pouch, 2 Pack Black and White | B0FHJYKKVM | $245",SEAWAG USA: 70.6%; Diveland CZ: 29.4%,2,Brand direct,29.4,Tiny US footprint; brand's US account ~71% with a European reseller at ~29%,SEAWAG USA 70.6%; Diveland CZ 29.4%; monthly rev ~$2k; 12 products; 293 reviews; avg rating 4.58,Seawag on Amazon US,"Hi {{first_name}},

Saw you're exhibiting at the Las Vegas Souvenir & Resort Gift Show next week.

Looking at your listings, Seawag does roughly $2k a month on Amazon in the US across a dozen pouch listings, with about 30% of that sold by a Czech reseller rather than your US account. Under 300 reviews across the catalog. For a product every beach gift shop carries, that channel has barely been started.

We recently helped a brand go from no Amazon presence to a $1M+ annual run rate within six months. We manage the channel end to end.

Is Amazon something you're looking at for the US?

Yoni
",trimmed for length,2026-09-25T15:35:53
1 - Confirmed on Amazon,Las Vegas Souvenir & Resort Gift Show 2026,Blossom Bucket,YES on Amazon (SmartScout),Blossom Bucket,1914.0,6.0,4.47,3562.0,Collectible Figurines,,Blossom Bucket,,Yes,exact,,,,Not needed,,,,,SmartScout,Blossom Bucket,exact,Home & Kitchen,Collectible Figurines,1914,105572.77,6,3562,4.47,19.75,2.83,Hour Loop,0,-0.127,,False,,Friend Like Stars Angel with Flowers Resin Tabletop Figurine | B079TJ1QYX | $914; B-E-L-I-E-V-E Nativity Resin Christmas Decoration Set of 7 Letters | B00MEHLYY8 | $287; Friends are A Gift Christmas Angel | B07HCX5SQB | $266; Blossom Bucket B-E-L-I-E-V-E Nativity Resin Christmas Decoration Set | B0F272K7MK | $237; Blossom Bucket Holy Family with Star | B00FNVKK2O | $210,Hour Loop: 96.7%; Abundantly Good: 3.3%,2,Third-party resellers,100.0,Sold almost entirely by one reseller (Hour Loop 97%); no brand account; trailing year ~$106k,"Hour Loop 96.7%; brand direct 0%; monthly rev ~$1.9k; TTM ~$106k; 3,562 reviews",Who sells Blossom Bucket on Amazon,"Hi {{first_name}},

Saw you're exhibiting at the Las Vegas Souvenir & Resort Gift Show next week.

From what we can see, Blossom Bucket did about $100k on Amazon over the trailing year, and nearly all of it is sold by one reseller, Hour Loop. We don't see a Blossom Bucket account. The angel figurines and the nativity letters carry it, on a catalog with about 3,500 reviews, and it is heading into Q4 with the pricing and content entirely in a reseller's hands.

We manage Amazon for brands end to end, including strategy, content, advertising, inventory and operations.

Would it make sense to talk about taking that back before the holidays?

Yoni
",,2026-09-25T15:35:53
1 - Confirmed on Amazon,Las Vegas Souvenir & Resort Gift Show 2026,"Earthview, Inc.",YES on Amazon (SmartScout),Earthview,1847.58,23.0,4.41,97.0,Dish Soap,,Earthview,,Yes,exact,,,,Not needed,,,,,SmartScout,Earthview,exact,Beauty & Personal Care,Dish Soap,1847.58,25846.66,23,97,4.41,101.05,1,,0,-0.155,,False,,"Earthview Fragrance Free Liquid Dish Soap, 2 Pk/ 24 oz | B086937JYN | $396; Earthview Fragrance Free Shampoo & Bodywash, 32 Fl Oz | B0BGJLHGZ1 | $282; Earthview Fragrance Free Liquid Dish Soap, 128 Fl Oz (1-Gallon) | B01E8582WU | $280; Earthview Shampoo Bodywash, 128 Fl Oz, Scent Free | B01E918RLO | $190; Earthview Fragrance Free Liquid Dish Soap, 6 Pk/ 24 oz | B0H35GDWF9 | $160",Earthview Products Company: 100%,1,Brand direct,0,"Brand direct but tiny: 23 listings, under 100 reviews, high price points",Brand direct 100%; monthly rev ~$1.8k; 23 products; 97 reviews; avg price ~$101,Earthview on Amazon,"Hi {{first_name}},

Saw you're exhibiting at the Las Vegas Souvenir & Resort Gift Show next week.

Looking at your listings, Earthview is on Amazon with about 23 products but doing under $2k a month, sold direct, with fewer than 100 reviews across the whole catalog. Fragrance free and MCS-safe is a real niche that people search for by name, and right now the listings are not built to catch it.

We recently helped a brand go from no Amazon presence to a $1M+ annual run rate within six months. We manage the channel end to end.

Is Amazon something you're looking at more seriously?

Yoni
",trimmed for length,2026-09-25T15:35:53
1 - Confirmed on Amazon,Las Vegas Souvenir & Resort Gift Show 2026,L. W. Bristol Classics,YES on Amazon (SmartScout),L W Bristol Classics,1761.98,12.0,4.67,1113.0,Trekking Poles,,L. W. Bristol Classics,,Yes,exact,,,,Not needed,,,,,SmartScout,L W Bristol Classics,exact,Sports & Outdoors,Trekking Poles,1761.98,24430.76,12,1113,4.67,15.81,1.92,Stateline Classics,0,-0.193,,False,,Grand Canyon National Park Hiking Stick Medallion | B01MZ0Q75Q | $317; Great Smoky Mountains - Bear and Cub - Hiking Stick Medallion | B07VHY8SH9 | $266; L W Bristol Classics Mount Rushmore Hiking Medallion | B005FSS15S | $224; L W Bristol Classics Yellowstone National Park Hiking Stick Medallion | B01MQFJBR4 | $180; Route 66 - Hiking Stick Medallion | B01MU1LEDT | $155,"Zentra, LLC: 61.9%; Stateline Classics: 38.1%",2,Mixed,61.9,Reseller (Zentra) sells ~62% against the brand-side account (Stateline Classics) at ~38%; small,"Zentra 61.9%; Stateline Classics 38.1%; monthly rev ~$1.8k; 1,113 reviews; avg rating 4.67",L W Bristol Classics on Amazon,"Hi {{first_name}},

Saw you're exhibiting at the Las Vegas Souvenir & Resort Gift Show next week.

From what we can see, L W Bristol hiking medallions do roughly $2k a month on Amazon, and about 60% of it is sold by a reseller, Zentra, with Stateline Classics on the rest. Both carry the same 11 listings, so they trade the Buy Box back and forth. With over 1,000 reviews and a 4.7 rating, the product is clearly liked, and the channel is just not being run.

We manage Amazon for brands end to end, including strategy, content, advertising, inventory and operations.

Would it make sense to have a quick conversation?

Yoni
",'Stateline Classics' assumed to be the brand's own account; verify,2026-09-25T15:35:53
1 - Confirmed on Amazon,FNCE 2025,Ajinomoto Cambrooke,YES on Amazon (SmartScout),Cambrooke,1248.68,3.0,2.0,1.0,Branched Chain Amino Acids Nutritional Supplements,,Ajinomoto Cambrooke,,Yes,close,matched on retry 'Cambrooke',,,Not needed,,,,,SmartScout,Cambrooke,exact,Health & Household,Branched Chain Amino Acids Nutritional Supplements,1248.68,14554.25,3,1,2,208.11,2.33,,0,3.451,,False,,"Cambrooke Essential Care JR Amino Acid-Based Nutrition Powder (Case of 6, Vanilla) | B0D4KMKFN9 | $610; Cambrooke Essential Care JR Amino Acid-Based Nutrition Powder (Case of 6, Unflavored) | B0D4KM8JJW | $532; Cambrooke Essential Care JR Amino Acid-Based Nutrition Powder (14.1 oz, Unflavored) | B0D4KLV7L9 | $107",SimplyMedical: 95.3%; IRONMED: 4.7%,2,Third-party resellers,100.0,Medical foods sold only via a medical reseller; one review at 2 stars; large parent company,SimplyMedical 95.3%; brand direct 0%; monthly rev ~$1.2k; 3 products; 1 review; avg rating 2.0,Cambrooke on Amazon,"Hi {{first_name}},

Saw that Ajinomoto Cambrooke exhibited at FNCE last year.

Looking at your listings, the Cambrooke Essential Care JR products are on Amazon at about $1,000 a month, sold almost entirely by a medical supply reseller called SimplyMedical, with a single 2 star review across the three listings. That is the whole Amazon presence for the brand as far as we can see, and it is not one Cambrooke controls.

We manage Amazon for brands end to end, including strategy, content, advertising, inventory and operations.

Would a 20 minute look at what a brand-owned setup for the medical foods could look like be worth your time?

Yoni
",large parent (Ajinomoto); SmartScout record covers Essential Care JR only,2026-09-25T15:35:53
1 - Confirmed on Amazon,Las Vegas Souvenir & Resort Gift Show 2026,Channel Craft,YES on Amazon (SmartScout),Channel Craft,1129.1,9.0,4.42,846.0,Craft Kits,,Channel Craft,,Yes,exact,,,,Not needed,,,,,SmartScout,Channel Craft,exact,"Arts, Crafts & Sewing",Craft Kits,1129.1,23505.55,9,846,4.42,18.18,2.22,,0,0.37,,False,,"Channel Craft, JJ's Pocket Knife, Wood Craft Kit | B004RIJ1IS | $858; Channel Craft Campers Knot Tying Game | B01BW2QYEA | $98; Channel Craft Canoe Wooden Knife Kit USA Tin Box | B00PX5ZY8U | $79; CHANNEL CRAFT Hero Decks - Chicago Cubs - Playing Cards | B000OLNES0 | $54; Channel Craft Ring on a String Game | B00FW6P3XQ | $40",Fifty & Co: 66.8%; Nature's Workshop Plus!: 9.4%; BrightStarWholesale: 9.1%; Buckeye Nation Sales: 4.8%; Heaven of Goods: 3.5%,6,Third-party resellers,96.6,No brand account; resellers hold ~100% (Fifty & Co 67%); one craft kit carries the volume,Fifty & Co 66.8%; brand direct 0%; monthly rev ~$1.1k; 9 products; 846 reviews,Channel Craft on Amazon,"Hi {{first_name}},

Saw you're exhibiting at the Las Vegas Souvenir & Resort Gift Show next week.

From what we can see, Channel Craft products do roughly $1,000 a month on Amazon, all through resellers, mostly one account called Fifty & Co, with no Channel Craft account. JJ's Pocket Knife kit is almost all of it. Made in USA craft kits are a natural Amazon gift item, and nobody is building that.

We recently helped a brand go from no Amazon presence to a $1M+ annual run rate within six months. We manage the channel end to end.

Is Amazon something you're looking at?

Yoni",trimmed for length,2026-09-25T15:35:53
1 - Confirmed on Amazon,Las Vegas Souvenir & Resort Gift Show 2026,The Handcrafted,YES on Amazon (SmartScout),The Handcrafted,1032.19,8.0,4.48,781.0,Puzzle Boxes,,Handcrafted,,Yes,exact,'Handcrafted' alone returned unrelated brands; matched on retry 'The Handcrafted'. CHDENUO The Handcrafted (different),,,Not needed,,,,,SmartScout,The Handcrafted,exact,Toys & Games,Puzzle Boxes,1032.19,28526.1,8,781,4.48,32.76,2.25,,0,-0.327,,False,,"Wood Intarsia Bee Puzzle Box, Handcrafted Wooden Secret Compartment Keepsake Box | B00U0JY5KC | $297; Flying Eagle - Natural Wood Intarsia Puzzle Box | B002TCZ83Q | $198; Butterfly Wooden Puzzle Box, Handcrafted Secret Compartment Keepsake | B00333TS7W | $168; Hand-Carved Cat Puzzle Box, Natural Intarsia Wooden Keepsake Box | B00MFVYR5Q | $163; Super-Man Superhero Handcrafted Wooden Puzzle Box | B005L3VFI2 | $144",Cheerful Home: 92.6%; Brilliant Store: 7.4%,2,Third-party resellers,100.0,Sold entirely by one reseller (Cheerful Home 93%); no brand account; small and declining,Cheerful Home 92.6%; brand direct 0%; monthly rev ~$1k; TTM ~$29k; 8 products; 781 reviews,The Handcrafted puzzle boxes on Amazon,"Hi {{first_name}},

Saw you're exhibiting at the Las Vegas Souvenir & Resort Gift Show next week.

Looking at your listings, The Handcrafted puzzle boxes do roughly $1,000 a month on Amazon, down a third last month, and nearly all of it is sold by an account called Cheerful Home rather than by you. Eight listings, close to 800 reviews, and exactly the kind of Q4 gift people search for, with nobody on the brand side running it.

We recently helped a brand go from no Amazon presence to a $1M+ annual run rate within six months. We manage the channel end to end.

Is Amazon something you're looking at?

Yoni
",'Cheerful Home' may be an affiliated account; treated as third party per rules; verify; trimmed for length,2026-09-25T15:35:53
1 - Confirmed on Amazon,Las Vegas Souvenir & Resort Gift Show 2026,Greenwill Global,YES on Amazon (SmartScout),GREENWILL,939.51,2.0,4.3,660.0,Bath Soaps,,Greenwill Global,,Yes,close,Greenwillow (unrelated),,,Not needed,,,,,SmartScout,GREENWILL,exact,Beauty & Personal Care,Bath Soaps,939.51,22636.86,2,660,4.3,24.99,1,,0,-0.401,,False,,GREENWILL 3 Pounds Organic De-seeded Soap Berries/Soap Nuts + 2 Wash Bags | B00AHTWMXC | $600; 6 Ounces Greenwill Organic De-seeded Soapberry/Soap Nuts with Wash Bag | B00AHTWN6S | $340,Greenwill: 100%,1,Brand direct,0,Brand direct with two listings and 660 reviews but under $1k a month and falling,Brand direct 100%; monthly rev ~$940; 2 products; 660 reviews; MoM -40%,Greenwill on Amazon,"Hi {{first_name}},

Saw you're exhibiting at the Las Vegas Souvenir & Resort Gift Show next week.

From what we can see, Greenwill has two soap nut listings on Amazon with about 660 reviews between them, sold direct, but they are doing under $1k a month and last month dropped 40%. Reviews like that on a natural laundry product usually mean the listings once ranked and have since slipped, which is fixable.

We recently helped a brand go from no Amazon presence to a $1M+ annual run rate within six months. We manage the channel end to end.

Is Amazon something you're looking at more seriously?

Yoni
",trimmed for length,2026-09-25T15:35:53
1 - Confirmed on Amazon,Las Vegas Souvenir & Resort Gift Show 2026,"EnjoyLife, Inc.",YES on Amazon (SmartScout),EnjoyLife Inc,902.85,13.0,4.71,644.0,Trick & Novelty Golf Balls,,EnjoyLife,,Yes,exact,amyenjoylife (unrelated),,,Not needed,,,,,SmartScout,EnjoyLife Inc,exact,Sports & Outdoors,Trick & Novelty Golf Balls,902.85,30270.26,13,644,4.71,13.8,0.92,EnjoyLife Inc,0,-0.456,,False,,EnjoyLife Inc World Collection Globe/International Flags/Earth Golf Ball Gift Set | B000TGN7QE | $188; EnjoyLife Inc Basketballs Golf Ball Gift Set | B000S6M0W2 | $130; EnjoyLife Inc Philadelphia Souvenir Baseball | B00JDS4J7U | $92; EnjoyLife Inc Ben Franklin $100 Bill Golf Ball Gift Set | B00OS9LP7Q | $87; EnjoyLife Inc Groomsman Wedding Variety Golf Ball Gift Set | B00TQ7VRUU | $87,EnjoyLife Inc: 100%,1,Brand direct,0,"Brand direct, tiny and falling; strong rating on gift golf balls",Brand direct 100%; monthly rev ~$900; TTM ~$30k; MoM -46%; 13 products; 644 reviews; avg rating 4.71,EnjoyLife golf ball gift sets on Amazon,"Hi {{first_name}},

Saw you're exhibiting at the Las Vegas Souvenir & Resort Gift Show next week.

Looking at your listings, EnjoyLife golf ball gift sets do under $1k a month on Amazon, sold direct, down close to half last month, on 13 listings with a 4.7 average rating. That rating on a gift item heading into Q4 is the interesting part. The listings and reviews exist, and nobody is putting ads or content behind them.

We recently helped a brand go from no Amazon presence to a $1M+ annual run rate within six months. We manage the channel end to end.

Is Amazon something you're looking at more seriously?

Yoni
",trimmed for length,2026-09-25T15:35:53
